"Duration"
5.72S
1.352S
0.624S
7.16S
27.712S
16.784S
3.136S
0.56S
1.456S
2.84S
21.768S
8.064S
0.904S
0.544S
0.416S
0.833S
1.584S
0.456S
3.32S
3.016S
7.24S
37.424S
3.609S
5.72S
1.352S
0.624S
7.16S
27.712S
16.784S
3.136S
0.56S
1.456S
2.84S
21.768S
8.064S
0.904S
0.544S
0.416S
0.833S
1.584S
0.456S
3.32S
3.016S
7.24S
37.424S
3.609S
4.624S
1.408S
0.648S
35.144S
16.849S
2.152S
1.048S
0.647S
2.152S
3.472S
21.216S
2.04S
0.328S
0.431S
0.4S
0.648S
1.48S
0.976S
3.064S
2.648S
5.568S
36.464S
3.672S
8.133S
1.314S
0.864S
1.64S
7.685S
13.881S
22.456S
3.155S
42.759S
3.498S
5.94S
1.059S
3.631S
4.717S
4.112S
3.808S
4.791S
1.205S
0.58S
3.291S
0.952S
5.762S
4.447S
3.082S
4.438S
2.641S
3.059S
5.547S
5.046S
1.342S
1.114S
5.219S
12.789S
9.361S
3.15S
7.463S
0.973S
4.863S
6.436S
7.034S
10.697S
28.186S
2.868S
1.074S
3.997S
1.34S
1.37S
3.928S
7.901S
0.756S
5.008S
6.424S
1.949S
5.41S
3.213S
1.377S
0.917S
0.678S
5.496S
3.395S
3.659S
7.081S
1.201S
7.017S
2.605S
0.585S
0.624S
2.561S
0.932S
6.309S
4.835S
8.331S
1.181S
4.147S
1.964S
1.506S
18.003S
6.472S
1.284S
6.734S
2.22S
7.568S
8.898S
25.906S
4.749S
2.887S
2.7S
2.64S
0.624S
1.312S
0.889S
2.613S
6.506S
5.119S
2.215S
0.85S
1.709S
7.808S
2.572S
0.934S
3.721S
5.233S
3.275S
1.184S
10.016S
0.831S
8.132S
2.243S
0.804S
5.487S
0.741S
14.884S
1.01S
0.501S
2.909S
0.856S
1.493S
1.793S
18.533S
1.997S
2.254S
2.207S
2.256S
3.821S
8.512S
9.923S
1.138S
3.965S
2.031S
1.046S
2.075S
4.464S
44.671S
5.732S
0.779S
31.815S
1.333S
6.077S
5.922S
0.731S
13.013S
16.353S
2.348S
2.161S
1.453S
8.776S
0.976S
3.895S
2.141S
1.828S
1.78S
1.482S
7.181S
6.971S
1.331S
1.264S
3.469S
1.442S
40.05S
16.936S
0.667S
39.361S
0.486S
1.407S
4.026S
2.059S
1.44S
1.821S
2.27S
3.722S
1.184S
0.927S
1.109S
0.687S
0.932S
1.586S
3.39S
3.762S
1.909S
2.125S
3.003S
12.611S
2.961S
1.972S
23.884S
5.565S
7.236S
14.549S
8.416S
1.157S
0.649S
3.347S
1.289S
0.853S
3.934S
0.911S
1.256S
0.718S
0.519S
7.428S
7.785S
1.952S
4.091S
3.324S
1.931S
2.129S
1.008S
1.831S
1.778S
0.508S
1.438S
