ln(alpha),alpha,ln(Beta),Beta,-2 ln(Likelihood)
-1.391383705,0.248730896,0.944867261,2.572471889,-24.68208534
-1.35953021,0.256781382,0.723091284,2.060793872,-19.68657525
-0.641246229,0.526635706,2.246316514,9.452852178,-15.15472042
-1.254954028,0.285088954,0.545554328,1.725564646,-37.10964751
-0.652507519,0.520738377,2.66601927,14.38260184,-14.32859757
-0.53778389,0.584041118,3.643733539,38.23431991,-11.41610155
-0.953122084,0.385535468,2.041061333,7.698775833,-22.00188684
-1.369307363,0.254283024,1.132503429,3.103415966,-30.70998694
-1.63057739,0.195816479,0.259471445,1.296244769,-25.26469468
-1.269201934,0.281055833,1.118994697,3.061774643,-34.36134491
-1.201185056,0.300837491,1.443053237,4.233602297,-29.82237984
-1.330638273,0.264308507,0.645154926,1.90628234,-27.57397185
-0.806605796,0.446370571,1.478139692,4.384781047,-17.06914692
-1.093315275,0.335103689,1.851152757,6.367155075,-23.22785146
-0.687312395,0.502925921,1.886523514,6.596396495,-19.26831592
-0.818764905,0.440975965,2.31959169,10.17152032,-22.31581968
-1.419482723,0.241839082,0.412185169,1.510114037,-31.19950982
-1.441917303,0.236473931,0.663343626,1.941272384,-25.68105528
-1.807006152,0.164144827,-0.492844303,0.610886375,-33.58473298
-1.406701043,0.244950031,-0.001347386,0.998653521,-24.74026474
-0.440444618,0.643750135,3.350595747,28.51971913,-8.947698297
-1.033248851,0.35584898,1.5515972,4.719001354,-18.06899637
-1.254007383,0.28535896,0.691280801,1.996270722,-41.28838656
-1.144116987,0.318505038,1.146364816,3.14673314,-16.61853945
-1.296884616,0.273382158,0.159956157,1.173459421,-43.14909287
-0.992788612,0.370541951,1.376565749,3.961274232,-29.65363713
-1.144816978,0.318282165,1.148046782,3.15203029,-21.06567511
-0.807010782,0.446189834,2.037407699,7.670698642,-17.99120737
-0.816713825,0.441881371,1.45541391,4.286257221,-17.96441909
-0.999283026,0.368143296,1.776042533,5.906435584,-15.34077427
-1.21713629,0.296076832,0.805638779,2.238125709,-30.78576053
1.735752194,5.673193541,5.277770046,195.9324675,-10.0458155
-1.196935675,0.302118585,1.601872569,4.962316011,-23.29137952
-1.231962962,0.291719381,1.212506414,3.361900416,-19.71980352
-1.000330931,0.367757719,1.440572655,4.22311351,-28.25893238
-1.313474361,0.268884231,1.927173844,6.870066897,-22.96419214
-1.185526161,0.30558535,1.179227414,3.251860891,-19.20512719
-1.305690619,0.270985323,1.330423697,3.782645743,-31.27516691
-0.784671371,0.456269621,2.240953408,9.402291238,-22.28509755
-0.856057156,0.424833838,1.826941878,6.21485179,-34.17273923
-1.134091472,0.321714275,1.611272095,5.009179327,-15.06665586
-0.816319041,0.442055853,2.456140133,11.6597196,-16.20526521
-1.081896475,0.338952102,1.447488778,4.252422318,-33.13068117
-0.65998757,0.516857759,2.492616273,12.09287303,-31.3561768
-0.529535664,0.588878343,2.603048498,13.50484484,-6.071169404
-1.093541566,0.335027867,0.970098026,2.638203058,-18.81446349
-0.519828435,0.594622556,2.327181161,10.24901046,-25.26786222
-0.921532393,0.397908821,1.528447719,4.611013675,-21.92963213
-0.401337225,0.669424276,2.554248204,12.8616267,-9.457515909
-1.316482583,0.268076583,1.454315711,4.281552644,-16.45857913
-1.383212687,0.250771607,0.65241845,1.920179075,-32.50053585
-1.138456269,0.320313118,1.130429911,3.096987644,-22.60621569
-1.599350274,0.202027738,-0.229228289,0.79514699,-26.61644095
-1.351994789,0.258723647,1.038513799,2.825015353,-17.55386919
-1.000408559,0.367729171,1.154325254,3.171882479,-34.99224372
-1.2891751,0.275497948,0.895961508,2.449690054,-14.65060737
-1.122686266,0.325404497,2.074817642,7.963094193,-24.14632963
-0.976495181,0.376628804,1.518008451,4.563128448,-13.50083463
-1.176538702,0.308344165,2.099233219,8.159910645,-26.68055817
-0.464091619,0.628705951,3.000017949,20.08589744,-22.07387671
-0.626648022,0.534380032,2.41553553,11.19576442,-21.3118594
-1.041410724,0.352956407,1.984994169,7.27900494,-15.17121202
-1.223508986,0.294196024,0.622816235,1.864170599,-19.62685581
-1.323073102,0.266315628,0.505248317,1.657397029,-31.10911733
-1.206358513,0.299285141,1.726164347,5.61905976,-26.24218893
-1.529694452,0.216601839,0.107792956,1.113817113,-32.75651944
-1.432622474,0.238682163,0.387302339,1.473001769,-32.41641927
-1.132245751,0.322308618,0.549079733,1.731658696,-24.60058752
-1.143315014,0.318760573,1.113124457,3.043853943,-12.32844531
-1.301124974,0.272225374,0.888743555,2.432071967,-21.04811055
-0.696905542,0.498124346,2.281660799,9.792931003,-24.28276465
-0.970791624,0.378783066,1.678533841,5.357694977,-21.04562472
-1.182176754,0.306610596,1.028887544,2.797951504,-19.57385336
-1.425339671,0.240426783,0.266616786,1.30554005,-27.46758005
-1.569386279,0.208172903,0.468031261,1.596847321,-35.57699435
-1.437479132,0.237525776,0.972757199,2.645227832,-46.69237215
-0.677084057,0.508096414,2.618396908,13.71372159,-24.54910892
-1.078219088,0.340200854,1.438323931,4.213627567,-22.81928165
-1.192432933,0.303482014,1.751050834,5.760652988,-24.74540637
-1.304675445,0.27126056,0.867722864,2.381481718,-38.37159186
-1.323877746,0.266101425,0.672445535,1.959022325,-27.28358457
-1.228232732,0.292809594,0.172012598,1.187692796,-39.70280493
-0.71456644,0.489404252,1.976852093,7.219979352,-14.70919829
-0.874052877,0.417257026,2.193030217,8.962329814,-10.88707399
-1.126833807,0.324057663,1.1846351,3.269493567,-24.88670099
-1.265403253,0.282125505,0.971483233,2.641860049,-24.93107948
-1.055250972,0.348105052,2.101441641,8.177951092,-19.27490866
-1.121636737,0.325746197,0.750820709,2.118738171,-14.47373489
-0.765535517,0.465084804,1.846623734,6.33838329,-18.16722948
-1.828972051,0.160578549,0.023888787,1.024176409,-34.55951317
-0.993364465,0.370328635,1.955777888,7.069416099,-18.88902496
-0.970592233,0.378858599,1.53682635,4.64980996,-28.8009443
-0.921065038,0.398094829,1.936133261,6.931895252,-19.29754035
-1.503548055,0.222339885,0.17844439,1.195356407,-25.15686834
-0.890156201,0.410591613,2.30617982,10.03601196,-17.15033971
-1.400364816,0.246507018,0.316599156,1.372452322,-35.58170513
-1.443844013,0.236018754,1.125059594,3.080400417,-34.93778972
-0.95259774,0.385737675,2.172999138,8.784590774,-16.43552326
-0.740997839,0.47663807,2.053913297,7.798358769,-21.2978642
-0.942374638,0.389701336,1.89795212,6.672216546,-20.80701451
-0.90643179,0.40396308,1.663199076,5.276162721,-32.76765376
-1.342471979,0.261199191,1.212373094,3.361452238,-18.53260321
-1.292940663,0.274462494,0.886113814,2.42568465,-24.84254884
-1.317854345,0.267709097,0.833280913,2.300855277,-17.78760196
-1.282302055,0.27739798,1.674551194,5.336399602,-18.44414885
-1.487209947,0.226002335,0.832382428,2.29878892,-23.13544827
-0.643387952,0.525509005,1.963459473,7.123929528,-18.28435387
-1.042113376,0.352708488,1.536899787,4.650151443,-15.76026826
-1.196746582,0.302175718,1.149761102,3.157438515,-20.06732175
-1.424782404,0.240560803,0.380979003,1.463716871,-26.18158446
-1.500462819,0.223026915,0.19944032,1.220719355,-31.30088114
-0.755569946,0.469742811,2.587277603,13.29353202,-20.4805329
-1.169189101,0.31061872,1.693823697,5.440242825,-30.8401192
-0.953962987,0.385211407,2.476281143,11.89693904,-16.92859441
-1.174687922,0.30891537,0.902886496,2.466713003,-16.31248408
-0.214300458,0.807105847,2.866481329,17.57506839,-30.33636476
-1.199537596,0.301333518,1.443284844,4.234582942,-18.88186138
-0.749263105,0.472714766,1.742589049,5.712113234,-19.77510399
-1.479108303,0.227840763,0.679688154,1.973262282,-32.36087425
-1.076199368,0.340888659,1.450362014,4.264658101,-13.17419015
-0.821461473,0.439788446,2.027513619,7.595178355,-17.4006129
-1.464122681,0.231280809,-0.708825305,0.492222069,-32.94376154
-1.518931522,0.218945701,-0.148653218,0.861867943,-27.02810413
-1.128854281,0.323403574,1.763962688,5.835515969,-20.26346502
-0.660719036,0.516479833,2.079472024,8.000243863,-15.59014656
-1.137490657,0.320622565,1.157123209,3.180769691,-25.75240737
-1.672440898,0.187788134,0.169372681,1.18456152,-29.93168425
-1.188768521,0.304596137,1.024347236,2.78527674,-26.41253669
-0.998716394,0.368351956,1.490552528,4.439547815,-19.59201098
-0.832586368,0.43492296,2.001881433,7.402971195,-14.00027048
-1.123014468,0.325297716,1.326738729,3.768732465,-22.30903384
-1.379105203,0.251803766,0.814383351,2.257782983,-19.52578445
-1.659700313,0.190195971,0.337493984,1.401431177,-29.80813722
-1.48969656,0.225441053,-0.067480593,0.934745861,-28.73501198
-1.162874625,0.31258632,0.931898723,2.539326079,-40.95537276
-1.157628684,0.314230438,2.176388182,8.814412639,-32.58920251
-0.989003303,0.371947225,2.089529945,8.081115704,-22.74403424
-1.25031413,0.286414811,1.463826387,4.322467357,-29.39374357
-1.587766994,0.204381488,0.260060641,1.297008736,-26.03643375
-0.584460572,0.557406461,3.553280113,34.92769658,-15.02282125
-1.164191489,0.312174957,0.493514737,1.638063476,-35.292942
-1.181316332,0.306874524,1.173631124,3.233713362,-32.19637833
-0.94342637,0.38929169,1.20224484,3.327578427,-19.1100759
-1.246736782,0.287441252,1.021471983,2.777279864,-16.62207957
-0.847876275,0.428323608,1.68726304,5.404668083,-12.83693679
-1.439631506,0.237015081,0.493644888,1.638276685,-23.0971512
-0.779593348,0.458592461,2.403783859,11.06496554,-20.86275248
-1.342847602,0.261101097,0.016806223,1.016948242,-21.38577502
-1.124522379,0.324807565,1.015040804,2.759475994,-25.94696735
-1.653565896,0.191366298,0.836040149,2.307212647,-31.88536982
-1.249547686,0.286634416,1.000736586,2.720284815,-22.88804164
-1.040630205,0.353232003,1.673954755,5.333217717,-22.058962
-0.920911539,0.398155941,2.550690888,12.81595511,-22.41476696
-1.034400209,0.355439506,0.949099071,2.583381167,-28.20074625
-1.122820673,0.325360763,1.033072918,2.809686519,-27.47289713
-1.255331238,0.284981436,0.839293594,2.314731259,-26.67842866
-1.232813854,0.291471265,0.753404796,2.124220255,-18.56465655
-1.119823522,0.326337381,1.185652964,3.272823159,-30.78367533
-0.98557562,0.37322433,1.797549804,6.034842784,-21.13616163
-1.439755115,0.236985786,0.19696974,1.217707192,-29.53338747
-0.910177693,0.402452705,1.535982624,4.64588845,-16.98301468
-1.195964719,0.302412071,0.685247579,1.984263037,-29.22416265
-1.129673408,0.323138774,0.716185969,2.046612463,-14.2054423
-1.406284799,0.245052011,0.884936779,2.422831213,-27.20190665
-0.995708936,0.369461427,1.046651631,2.848098648,-14.14158019
-1.168645689,0.310787559,0.77977591,2.180983475,-23.25395957
-0.663228827,0.515185202,1.92511237,6.855919022,-15.24369973
-1.320088907,0.267111553,0.676904348,1.967776742,-24.19659022
-1.176964609,0.308212867,0.877022388,2.40373166,-17.20497117
-1.102028436,0.33219656,2.287655771,9.851815682,-21.94954565
-1.156298451,0.314648716,1.977110492,7.221845224,-20.88220239
-0.934363729,0.392835736,1.770762292,5.875330373,-12.61587789
-1.229271362,0.292505631,1.233388598,3.432842371,-23.85091144
-1.196435261,0.302269807,1.444086939,4.237980842,-19.80399989
-0.786065305,0.455634054,1.931411941,6.899244691,-17.76689494
-0.850598346,0.427159266,2.550760657,12.81684931,-20.51392499
-1.586082372,0.204726083,-0.054325762,0.94712352,-24.68522873
-1.076939687,0.340636386,1.608294644,4.994286927,-18.72355354
-0.430128355,0.650425604,2.510158718,12.30688323,-8.816104872
-1.742880347,0.175015568,-0.595616716,0.551222513,-31.53578683
-1.133199115,0.322001487,1.033203438,2.810053264,-25.34846587
-0.918512117,0.399112432,1.82108014,6.178528524,-13.38631044
-0.806847687,0.446262611,2.205765401,9.077196608,-28.46731169
-1.093531678,0.335031179,2.309659749,10.07099741,-29.06517039
-1.16294231,0.312565163,1.393409762,4.028563101,-24.37656624
-1.037917943,0.354191362,1.24422963,3.470260386,-28.36349376
-1.19047141,0.304077885,1.000416931,2.719415402,-23.96484108
-1.819478006,0.162110349,-0.385523355,0.680094612,-33.88985428
-0.900230632,0.406475903,1.428712701,4.173323418,-20.93378906
-0.898239907,0.40728589,0.996881333,2.709817618,-25.09126639
-1.315146889,0.26843489,1.141307262,3.130858544,-24.58548983
-0.990815712,0.371273715,1.482482004,4.403862531,-21.10269199
-1.138841376,0.320189787,0.869228341,2.385069683,-37.71713625
-1.30272388,0.271790459,1.827257449,6.216813329,-41.01714913
-1.259618533,0.283762252,0.681765674,1.977366035,-28.59663613
-1.313343038,0.268919544,0.840006921,2.316383008,-25.48696054
-1.231651227,0.291810334,0.757106901,2.132098916,-31.61058852
0.060633881,1.062509838,3.565319455,35.35074458,-9.563308152
-1.142653053,0.31897165,0.98379097,2.674576287,-26.19018448
-1.149613129,0.316759291,1.115411475,3.050823258,-24.72684398
-0.999539554,0.368048869,1.927730319,6.873890985,-14.08153402
-0.80725369,0.446081464,1.755740149,5.787729942,-17.71404093
-1.207734054,0.298873744,1.710958875,5.534265601,-20.04004392
-1.306375577,0.270799773,0.849757518,2.339079599,-24.13357796
-1.207449009,0.298958949,0.958246619,2.607121188,-29.09782337
-1.212077173,0.297578515,0.962766197,2.618930942,-33.02255521
-1.448384112,0.234949634,0.492507895,1.636415035,-19.53037774
-1.496923687,0.223817635,0.363916234,1.438953674,-42.7465443
-1.13301991,0.322059197,1.629146012,5.099517931,-25.89485187
-0.797923708,0.450262872,2.508409709,12.2853772,-23.02005074
-1.362252264,0.25608336,1.17391071,3.234617586,-22.8832497
-0.998975751,0.368256434,1.32279421,3.753895911,-12.18627022
-0.937911782,0.391444404,1.921644278,6.83218325,-20.80179338
-1.084391359,0.338107509,1.727509884,5.626625501,-21.68131886
-1.282202055,0.277425721,0.488007586,1.629067207,-23.51880469
-0.740857465,0.476704982,2.031357642,7.624430584,-22.64356516
-0.686868236,0.503149349,2.731095766,15.34969749,-20.6014395
-0.632293377,0.531371767,1.537069131,4.650938982,-16.99473167
-0.290341377,0.748008171,2.603893671,13.51626359,-20.56645041
-1.654410964,0.191204649,-0.089814785,0.914100475,-28.35125855
-0.762629253,0.466438429,1.707029911,5.512564334,-25.79681172
-1.133322016,0.321961915,1.136576687,3.116082759,-23.15977175
-0.852834446,0.426205163,1.37848009,3.968864724,-30.96976184
-1.259136557,0.283899051,1.415400356,4.118134854,-23.05896108
-1.231440422,0.291871856,0.744170231,2.1046943,-21.16109939
-0.062919498,0.939019064,3.24228204,25.59205726,-10.46522607
-1.339466458,0.261985412,0.635571768,1.888101389,-32.95754659
-1.056235003,0.347762674,1.201085012,3.323721245,-15.60899283
-1.312882927,0.269043305,1.75253836,5.769228484,-30.40653794
-1.177671268,0.307995142,1.033889254,2.811981104,-21.3824656
-0.861439148,0.422553527,1.634994674,5.129430679,-19.42343858
-0.917954391,0.399335089,2.398980305,11.01194184,-21.22202369
-0.422684546,0.655285313,2.793583057,16.33946025,-17.40400604
-0.933331466,0.393241455,2.686150284,14.67507217,-24.82670476
-1.350466104,0.259119456,1.38191327,3.982513968,-32.97670313
-1.028687947,0.35747568,1.404394226,4.07305864,-22.03997111
-0.735788693,0.479127425,3.755707984,42.76448568,-19.34864797
-1.247857841,0.287119194,1.633960111,5.124126702,-32.04824729
-0.820899646,0.4400356,2.921631471,18.57156171,-19.3832074
-0.819463189,0.440668146,1.868740389,6.480128815,-15.67667322
-0.982200625,0.374486088,0.949944991,2.585567425,-18.12659693
-0.330390513,0.718643039,2.126603645,8.386335412,-15.47185341
-1.242185763,0.288752383,0.874439547,2.397531213,-24.10699235
-0.665507508,0.514012596,2.477322555,11.9093351,-20.35044773
-0.547848838,0.578192259,1.986446725,7.289585789,-21.59991971
-1.30995742,0.269831546,0.975252249,2.65183605,-31.91363304
-0.444852452,0.640918835,3.188248119,24.24591425,-20.13505481
-0.993451499,0.370296405,0.897626736,2.453772745,-25.21284965
-1.260590025,0.283486713,0.535784352,1.708788009,-24.42165507
-0.632265505,0.531386577,1.987025598,7.293806751,-14.69210704
-1.470811127,0.229739062,-0.004341521,0.99566789,-36.90351826
-0.969422787,0.379301913,1.275492711,3.580465111,-22.09900159
-1.13289891,0.322098168,1.32205283,3.75111388,-32.6468242
-0.951414052,0.386194538,1.574500259,4.828328102,-30.82417761
-0.960905855,0.382546197,1.413353769,4.109715355,-13.72291978
-0.97974158,0.375408099,3.06618001,21.45976979,-20.94266856
-1.855287298,0.156408,-0.34902257,0.70537721,-33.86765138
-0.667216612,0.513134846,2.194890795,8.979020448,-21.35521944
-1.057248148,0.347410518,1.202628604,3.328855675,-21.56479009
-1.16041195,0.313357067,0.475440274,1.60872232,-19.80727043
-1.78924575,0.167086147,0.147192872,1.158577398,-33.8126544
-1.330043554,0.264465742,0.346269733,1.413783909,-21.77277372
-0.956968521,0.384055379,1.426677549,4.164838705,-17.54538352
-1.140300865,0.319722814,0.546295119,1.726843403,-14.70212171
-1.105478277,0.33105251,0.91295012,2.491662405,-37.53078246
-1.671794901,0.187909484,-0.416432401,0.659395086,-31.85121308
-0.978572369,0.375847287,2.422171718,11.27030869,-26.09363035
-1.169128245,0.310637623,1.355360509,3.878158818,-19.36959846
-1.190682813,0.304013609,0.863263111,2.370884544,-18.16617375
-0.838883551,0.432192775,2.430355352,11.3629192,-15.45141217
-1.309114001,0.270059223,1.148589998,3.153742989,-30.79858401
-1.225703683,0.293551061,0.645517504,1.90697364,-27.34290249
-1.160065311,0.313465707,1.240442184,3.457141819,-22.91000568
-1.159280545,0.313711801,1.39554413,4.037170722,-24.03809451
-1.665624356,0.189072573,-0.254332133,0.775434212,-40.33172964
-1.06795099,0.343712066,1.601026841,4.958121015,-27.58947608
-1.282555934,0.277327563,1.400717653,4.058111237,-31.0382292
-1.147161282,0.317536889,1.110622271,3.036247174,-18.48510481
-0.868202802,0.419705165,1.335285361,3.801080472,-13.91772667
-0.832795397,0.434832058,2.145711129,8.548117893,-17.03950915
-1.000146933,0.367825391,1.195281137,3.304486652,-34.63077847
-1.586003591,0.204742213,-0.868303882,0.419662744,-33.2043543
-1.265569186,0.282078695,0.673563656,1.961213974,-19.10147301
-1.076491905,0.340788951,2.208302232,9.100253151,-24.96025246
-0.636320464,0.529236189,1.551828333,4.720092199,-12.71615392
-0.968649163,0.379595463,1.712459518,5.542576797,-18.16241149
-1.030489201,0.356832355,1.702730248,5.488913044,-23.15479301
-0.920054461,0.398497338,1.78810297,5.978101064,-29.1676038
-1.06415084,0.345020708,1.462437682,4.316468893,-22.08519455
-0.771809715,0.462175904,2.116161795,8.299222162,-22.93468662
-1.323115918,0.266304226,0.522313821,1.685924067,-24.47104433
-0.651487145,0.521269996,2.099208217,8.159706637,-20.96617275
-1.396194592,0.247537154,0.6183105,1.855790034,-31.00938682
-1.420688047,0.241547764,0.532418293,1.703045797,-17.72571466
-1.574460273,0.20711931,0.268024085,1.307378628,-32.68051448
-0.673374276,0.509984842,1.605639741,4.981045164,-22.95202685
-1.492131203,0.224892852,0.514475107,1.672760251,-24.51743639
-0.99250046,0.370648739,1.656677064,5.241863495,-16.04293713
-0.55770922,0.572519078,2.700752534,14.89093345,-12.11760472
-0.975461174,0.377018442,0.952898516,2.593215253,-17.97272751
-0.837547726,0.432770495,2.28100078,9.786469614,-21.72684452
-1.303175244,0.271667811,1.038630947,2.825346317,-32.75055467
-1.705355595,0.18170776,-0.627528678,0.533909634,-34.43940112
-1.246080002,0.287630099,0.876532456,2.402554283,-24.88513237
-0.842888397,0.430465371,1.85326906,6.380644176,-22.20155867
-1.277571914,0.278713219,0.656057914,1.92718023,-26.22984992
