r,K,m,g,C0,distance
[0.05994351],[9543.71869179],[4.01463045],[14.69943818],[963.44179257],186.422899072135
[3.76304832],[860.73574223],[10.30417423],[5.41613845],[977.32818868],173.3725449244257
[0.11544668],[2467.6120413],[4.72206591],[9.52455598],[951.75938157],205.19041232655422
[0.09491698],[23066.52371593],[3.95334812],[17.3544908],[783.56154127],189.65005865313663
[0.76521769],[958.30193976],[12.74294108],[24.94299077],[916.16427202],177.2800259108891
[0.08061938],[26446.89223923],[5.82102663],[11.80339696],[965.6816523],192.28798724985836
[11.72331165],[887.33493714],[4.14436073],[0.58223212],[822.9760928],221.23113975758702
[11.53254056],[868.26008944],[12.09644792],[1.81332286],[881.37192612],196.73649503550098
[0.070964],[7897.51286478],[4.99219477],[9.13879636],[1137.76462565],234.53268332683422
[0.07802012],[13175.44063872],[7.50058013],[13.64390256],[1106.94274901],191.85152829648587
[22.22637037],[767.70809899],[4.98320089],[1.20843164],[891.46486952],222.48004169899116
[0.01685381],[14687.53393213],[6.32642394],[21.65512391],[946.725387],204.03069172587868
[17.20851662],[897.23864678],[8.12718596],[1.27293269],[915.35219769],245.40953456975933
[0.12088524],[22389.58430406],[9.56448337],[22.43356423],[942.15335969],145.76596866363025
[1.02804738],[878.42991832],[10.01831319],[23.09796313],[943.27589233],184.60008155159073
[0.1023836],[21941.67747699],[10.81564364],[23.57371718],[956.7373031],41.44989653813275
[13.33839925],[777.49140124],[17.95473422],[12.14792109],[950.21225362],242.89900654112614
[0.1057772],[9412.34874341],[5.45252202],[12.13616126],[977.69431414],61.67760388032684
[4.14704188],[794.11501362],[17.86802406],[9.66425142],[965.4746661],180.8075799539597
[0.10030904],[29385.01312577],[9.38776581],[24.78262113],[871.47665402],145.00561703334608
[9.00422388],[769.95175787],[11.67764284],[9.43226562],[946.05740608],238.5258946803848
[0.20215357],[2390.0600378],[5.58365883],[11.10908148],[926.93687749],150.39596400025198
[8.53123767],[754.04796798],[8.76844628],[9.99935939],[967.2219274],215.20371626937037
[0.01745851],[6701.42749368],[5.15148358],[23.06913523],[905.75628759],227.88288811310997
[0.07748272],[25160.10931435],[3.97756082],[16.30476236],[808.16535911],200.34111459952283
[0.84626367],[948.92145824],[6.45132325],[10.58912581],[945.69674722],109.99393786752535
[5.76647894],[827.70631923],[2.14955206],[2.31265286],[948.73846036],238.36081908865197
[0.07691944],[6838.44403239],[6.65881833],[20.07837944],[975.31453554],162.9607902831002
[0.11420502],[9088.37304411],[5.18619282],[7.82661812],[1157.11346479],248.5459080561784
[3.04790175],[861.60862811],[18.16545194],[11.29392901],[925.63675151],190.1927387734304
[6.80509886],[764.4225313],[17.93881262],[4.10942975],[921.07067237],239.86744050743584
[0.13208076],[11321.75236129],[7.05344595],[12.73199805],[918.05886487],223.27748548276497
[22.22883333],[720.09380691],[12.78267306],[6.76003378],[968.09442967],242.31112654695198
[6.87922705],[762.71535606],[8.25021816],[20.52368958],[937.61961269],240.41976436822006
[11.78296057],[853.30448848],[8.60837167],[2.52193305],[949.19626562],248.67831968324083
[13.16186817],[733.35563075],[1.29987082],[15.55163317],[966.70046332],228.3444952170479
[0.10687998],[6295.21512159],[4.41131286],[11.9671133],[923.12054456],117.40842393575497
[0.14757658],[9552.51400009],[5.38430042],[9.29467977],[1002.30707495],170.18900422848196
[0.03362612],[26050.64705097],[5.99514015],[22.57085833],[921.21295946],173.41592917461026
[0.45271653],[1017.82471882],[7.81066254],[17.36196373],[973.43032736],134.34891474222457
[0.10870194],[14930.93186726],[12.91463194],[21.98310103],[1044.31881447],170.0722709547813
[12.7818251],[741.41407549],[8.02073476],[10.38460898],[931.23961943],243.27560679318685
[6.62164559],[729.68847205],[16.8899146],[16.93637676],[972.29566098],235.84063686316767
[0.11530696],[1215.74726725],[4.16014751],[17.13730436],[874.14468374],196.7067580818823
[0.12265562],[6562.18979584],[3.52436461],[13.08736787],[796.97382106],225.49003543317167
[0.14700336],[3224.80895615],[13.90399029],[22.54098565],[1095.52382415],196.53371396269972
[0.08985151],[22781.94125366],[5.32657803],[19.48471511],[873.65304335],220.70499654315552
[1.16433301],[907.8471646],[16.89029864],[22.37755148],[902.26627012],152.06047912078952
[0.14071308],[21214.73240591],[11.35008755],[18.85351203],[987.30812621],172.44890354736742
[1.69954374],[783.42602307],[7.18901619],[7.46191639],[1028.92166517],230.70441722524583
[6.36735091],[769.7898569],[17.29481489],[5.3259782],[881.8077422],228.56138956251436
[3.1320805],[750.44952959],[7.85684936],[7.32234082],[927.52693615],176.91867421246184
[18.23252697],[741.15580546],[12.13962379],[19.13106174],[971.41858535],225.26270937929758
[24.80304576],[869.81432656],[12.81250739],[1.01969744],[886.83734694],174.45454350653665
[0.06998375],[22140.33251511],[13.29073248],[24.94663135],[1119.13747043],208.1705482588735
[22.46749687],[1323.35911238],[13.15849783],[0.14782931],[802.34612757],207.72489945058942
[15.1267798],[741.89033629],[9.69581901],[17.50906674],[987.3754271],240.48437581107646
[0.06896293],[20521.00140536],[2.04991569],[6.48649946],[919.64258084],104.50378670436942
[9.75349622],[732.36159063],[2.13226174],[16.27834589],[956.81291571],226.82244719447226
[4.41051563],[765.84781772],[13.3025628],[21.8428063],[945.6403891],229.64261036500523
[0.05360453],[14758.59974518],[5.58940983],[19.8793671],[884.91601584],175.42703108768205
[2.55176826],[793.4601791],[8.31093531],[9.82349781],[963.68277696],173.7700356879718
[4.57621321],[760.02904247],[18.98069092],[20.85755951],[919.90031586],245.10631122946631
[1.00122146],[968.10522987],[14.85123151],[14.99110578],[949.65091367],189.84811680559994
[15.68246893],[783.8344316],[6.34072218],[17.64207946],[956.53670437],242.9640724450702
[0.10271738],[8514.91976434],[2.90341974],[4.72655132],[1081.3638335],238.67542715554646
[0.08898837],[4506.73798362],[4.70186673],[20.27822363],[875.15550698],245.02072000296732
[22.71636939],[833.97934573],[11.56091763],[2.18677103],[977.56083556],247.18330846791525
[0.10624896],[19861.29769866],[9.41355918],[15.47683769],[1067.06980157],197.3188932574908
[0.07701032],[14430.38159268],[4.35606594],[13.39582868],[944.2916952],129.66751959626902
[20.30827485],[753.36672525],[18.80738438],[20.88259801],[955.91129734],213.12207740592203
[1.21191738],[877.17029284],[2.79224592],[3.38640354],[870.59826615],214.3236675524969
[0.03969996],[22945.39360059],[8.29648894],[21.74335047],[992.48901428],169.62013870871124
[0.05083586],[11216.62735752],[6.63521555],[19.7531391],[995.73947456],159.3306726630475
[0.17646538],[7856.36363168],[0.85086973],[1.71679683],[873.90013821],207.82044913807863
[0.08829506],[3734.8302267],[7.65584454],[14.80550925],[1092.0582897],174.71482093385043
[9.34477636],[750.3047307],[12.20208721],[22.07256889],[970.73550763],215.6547266368118
[0.0306861],[12049.36628888],[3.60689396],[12.60859247],[968.57725036],166.6069000943312
[0.08028482],[6528.46203119],[3.69170476],[13.91769129],[887.92801769],169.95520674981333
[0.8857189],[844.26983359],[4.52001938],[8.19546326],[986.16608822],105.93687718492993
[2.765471],[764.03560925],[9.27620836],[12.95221878],[941.54105218],194.89909564107404
[0.13692685],[10437.41153413],[13.14893485],[21.94606107],[961.67112794],158.20067742550964
[1.49886839],[715.48305779],[6.71029438],[14.70668349],[975.89451373],232.2164557328589
[23.84450242],[732.87496866],[6.78790615],[1.81098977],[1008.95184819],240.18545130776022
[0.10717986],[1888.0253113],[8.46324845],[23.60823641],[962.057957],76.3415911922267
[0.12689577],[20195.75249564],[6.19066961],[12.41725826],[975.98173501],113.1816130058537
[1.92939561],[902.86282426],[17.53646886],[14.84780621],[908.03560109],193.03069078807619
[11.3627178],[774.63760717],[5.94811583],[12.31681528],[952.56560865],237.70466454069185
[10.07320418],[726.03473854],[15.40017043],[20.20913409],[961.44484589],230.36450848399477
[0.17377626],[2650.43923784],[12.31397816],[18.38030597],[1059.6112854],217.70753253766168
[0.07415545],[5926.97809143],[4.48436339],[11.90308866],[1025.14012255],201.59219968988032
[18.9910391],[730.9618888],[12.86700556],[2.80244288],[919.53925699],232.00500695996095
[3.91445401],[766.32472296],[16.94886435],[10.38721957],[899.70789357],213.96436847649727
[0.02038797],[11286.09529638],[6.00540205],[24.49075163],[898.1340059],245.54518388972917
[17.37594857],[818.75503597],[17.27898833],[1.24741026],[960.27703774],210.03654171343032
[1.67554475],[846.94303728],[11.63317171],[12.24515017],[871.58343347],223.05325229855225
[18.20660813],[756.18162676],[14.67811235],[15.16009163],[932.78446564],239.0629127803404
[0.74783441],[736.6772142],[6.33680298],[16.5978894],[975.55924269],217.27257819583303
[4.95801134],[831.50110662],[19.38739288],[5.33639839],[950.39236462],236.486192809287
[17.83400354],[769.99961207],[16.75564603],[3.07759707],[942.64287365],200.2432940721551
[0.17757823],[2987.38363946],[12.55606356],[24.5018171],[987.8860105],168.15642823006635
[17.13254937],[903.76402682],[6.3293429],[0.4839742],[906.99523656],117.1160768094993
[0.1692812],[1570.35661131],[10.12639429],[18.84891466],[981.67086962],175.23867452474883
[0.16517679],[2240.99334919],[8.96015997],[24.23864741],[824.52591344],208.52224392791334
[23.59215744],[782.82901363],[5.14661253],[19.50083932],[950.54517112],247.95050577222707
[1.4212276],[799.4434746],[12.83883716],[22.16504351],[1040.80246139],243.98528634509228
[10.71671401],[740.00109224],[10.51009895],[2.56573601],[969.57896357],195.55640070340985
[0.04068897],[17157.34541859],[4.6302487],[11.9215497],[1063.80035305],245.62254030571273
[5.1617677],[753.86746889],[12.08840904],[17.81017318],[980.25544179],225.16327436599215
[0.16004355],[6967.09857594],[6.25965261],[12.72343169],[916.01630079],183.59722590839226
[0.03669187],[14099.16383164],[4.60503294],[12.77359707],[1029.80124533],212.76640366965512
[0.06010232],[18668.8053326],[4.89949178],[18.17864754],[912.21414903],146.39557519232926
[0.0564052],[20965.34936084],[4.77951406],[24.19273754],[820.25829215],220.27595642250026
[24.9141231],[726.19380543],[15.42542327],[2.17238683],[976.75644053],223.27943442656056
[0.04767925],[18629.64017627],[7.61799981],[21.90969239],[965.26098959],108.0963655400144
[0.05321827],[5899.79161356],[1.90403687],[8.92260552],[842.75709258],219.45966235274682
[5.21632827],[755.72261931],[0.19340054],[14.87688482],[960.21539156],211.98147332997053
[2.91296474],[776.73474504],[2.16386865],[4.49864036],[968.13849918],198.4462066322917
[0.0976],[6577.64128565],[6.87803906],[17.62383172],[873.66086377],220.80257899911464
[10.32787642],[852.87669195],[3.64032108],[0.59457406],[1033.83747358],153.36574596454273
[15.32320994],[737.22421953],[5.89685946],[17.00245543],[930.75437211],248.02097005713813
[0.0992703],[19226.32875344],[4.0786921],[9.90104968],[1005.64709417],235.84041040009697
[7.01518858],[762.26200878],[17.08975517],[6.23440803],[1019.71213265],248.95354420639558
[0.09564915],[28105.47277103],[6.13649177],[14.36346416],[967.8083452],54.53746071107821
[0.14144987],[24245.47080095],[9.17949814],[14.47881434],[1057.56908871],229.90136560542123
[12.05765288],[738.20879332],[1.53646178],[7.60019452],[978.67477653],235.34110838248375
[10.24618579],[726.34639936],[18.46770578],[10.15795568],[952.28308043],236.7631045922601
[23.54657032],[822.22417122],[16.91141438],[1.01020328],[912.02157697],226.48365205694665
[19.96455647],[721.94447618],[11.58226181],[2.26688698],[961.88293208],212.7027774972198
[23.20445147],[890.35955038],[19.09175284],[1.32174454],[804.1397428],248.2976178078345
[0.0457125],[5719.58922168],[2.97560207],[15.10664747],[853.85415487],229.31127289397193
[0.12591233],[3479.24630031],[9.81484737],[23.98358126],[880.03560348],166.82554764106158
[15.73781418],[772.87995568],[19.0056496],[16.86499771],[946.38882574],242.15638690247636
[0.14578138],[19136.60556666],[15.51731169],[24.85231498],[940.90784349],208.67925883169448
[0.12664767],[11118.60138789],[7.34203418],[24.29825398],[811.47782547],239.77342554952963
[0.14421542],[5986.02474341],[5.02425078],[7.79971388],[1017.90367341],191.26155861960603
[17.61562815],[794.34288134],[7.90131508],[2.25762963],[947.58706152],214.8080187233826
[19.07891148],[749.23122324],[19.40416864],[11.94388475],[1001.19212572],246.9476419123106
[0.01496033],[2803.26142465],[8.25291014],[24.18784319],[960.38518536],233.7079904349996
[0.1287729],[24141.2331462],[6.10174514],[12.48439218],[926.00437284],141.47662702624712
[0.06027902],[15597.57559711],[8.55239848],[24.55333216],[991.96353237],133.29015168575995
[20.51851949],[734.32986394],[2.22046448],[0.87586093],[941.27301563],222.6545990770536
[0.53230788],[912.04502866],[8.68977616],[21.61349308],[835.43279541],191.88680644423073
[0.06417786],[2728.64265688],[4.06481576],[12.30872224],[955.44998525],108.08800990642749
[0.03244797],[8216.18571363],[5.44107104],[16.88459979],[941.05982923],186.37865868926679
[5.47666186],[748.07026218],[9.49766848],[11.74960657],[926.73557366],236.14140527834877
[24.08884891],[734.59053406],[9.22931533],[6.65415763],[938.72393226],242.1848530553832
[0.09303516],[11724.84137177],[7.07115099],[20.76066946],[966.43617755],223.3562528526777
[1.36818554],[868.0704595],[17.08344995],[19.55989986],[1057.5647743],185.98316477686672
[7.33029125],[758.90336167],[17.6202787],[13.93204962],[940.23471845],232.5295561383607
[0.08656631],[4802.96429332],[4.27787129],[21.96070817],[778.22642779],226.96927221486646
[23.32742633],[748.51211595],[10.96636259],[7.96198432],[920.12400456],247.17774035202092
[1.85104959],[884.34729275],[18.78366771],[23.67641904],[995.33301946],227.75091730184488
[14.61591303],[722.63715437],[4.77189295],[19.3048599],[968.08421682],240.44682261492676
[0.15709927],[29463.55549427],[14.41867133],[23.40263655],[1004.77916974],219.35845436703562
[19.9297977],[753.98186401],[12.42650024],[14.33895204],[992.07494195],240.72248049709378
[14.48915063],[731.48697394],[3.48536203],[2.23469563],[956.43368955],208.06401446629263
[1.50420994],[827.31637233],[19.77969821],[20.34099721],[1088.87526007],246.11998291946372
[0.08254967],[1647.20388784],[2.48782664],[10.88915723],[969.63268471],236.85379983141252
[0.11489337],[1635.84046141],[4.92156685],[19.37975179],[951.57429327],226.83294136221377
[4.12641854],[905.79703551],[15.21941494],[5.45197477],[984.28692784],220.24528244283601
[0.08024079],[16481.43041271],[10.12791611],[22.56403736],[1044.5826093],164.24879208594155
[6.98806413],[727.133494],[6.73797869],[3.8268598],[977.50709539],210.10030702531117
[0.22378402],[2540.86246612],[5.4819856],[8.83305957],[988.36258746],197.9219469191221
[0.10589317],[3606.60602115],[3.39742207],[7.2646507],[1001.89188685],59.525733267277815
[13.89700451],[725.65006601],[1.99346231],[4.33606923],[943.1063405],245.28524574843266
[0.04271287],[19511.85486751],[4.58485314],[16.16414479],[982.82085461],180.13979492189708
[15.42984992],[760.28325025],[7.85776616],[1.87202104],[1023.58781689],200.06393140669502
[2.46372765],[834.86730499],[18.36264503],[14.94556651],[890.61432399],196.74926436799115
[0.16502049],[19669.13427698],[13.63615032],[24.87302244],[956.86674986],202.63372815579987
[0.15473625],[25733.63086785],[1.57364149],[3.00423649],[936.16633585],167.82168028101285
[2.01672945],[807.44550311],[18.6115251],[18.13595614],[1080.36864052],249.81757805277482
[11.03022659],[784.07607573],[12.80851533],[22.66293561],[957.99757862],241.7320255657877
[0.08414973],[3640.74717645],[5.41721289],[23.55560887],[891.44377947],233.07245177314473
[16.49496497],[747.76677017],[16.70850323],[2.71623661],[994.95020664],184.7110311674836
[0.07229897],[12119.90043074],[2.99249881],[9.44177707],[965.52196879],161.45125717507938
[15.27622307],[754.78477717],[17.06876286],[19.53587302],[932.91673727],237.533953147155
[0.05572785],[24062.17197396],[7.65681886],[23.75234132],[939.56319405],108.30935287449267
[9.72821387],[757.26581632],[11.82892663],[6.45013839],[996.88789569],244.32734933423217
[0.40141061],[962.68599653],[10.86891986],[17.55091548],[1102.52542456],188.63897835246019
[0.06414615],[18199.84234754],[3.77935862],[14.04084097],[910.02652894],142.68875903082528
[3.76912735],[754.14145866],[11.56825346],[11.04994012],[894.564244],239.79061771377837
[19.85113242],[739.763032],[9.13048688],[20.41413852],[984.17497132],239.41192730120247
[0.06181735],[25449.06865218],[2.61141284],[14.28815058],[854.90831859],246.8314460984982
[0.14300698],[20232.74920171],[0.89016131],[2.0392414],[891.27899003],208.67191768724774
[0.06756428],[19555.44840891],[4.02383397],[18.10842666],[827.96952666],190.87635057368232
[20.94192002],[830.59584335],[8.39488779],[1.1512494],[1037.6817531],218.59844353269796
[12.06140945],[915.93494119],[15.54013458],[2.05294354],[954.48549142],203.99965104378248
[0.67530297],[864.68916028],[4.38525758],[11.08772775],[967.36128634],141.3036012105489
[0.10087132],[9384.30848469],[6.07657819],[16.73122376],[868.18614132],147.6691399789296
[0.15784155],[15994.88442533],[12.72305066],[21.82457635],[910.39868037],243.89391813922384
[13.01535742],[787.42187152],[12.17592739],[2.80435785],[1005.08113756],224.79738927181393
[23.7660452],[769.07902056],[2.72761482],[6.82544319],[982.42708615],246.03815597897392
[2.95723719],[751.50151832],[4.720383],[14.95720229],[912.50832921],246.0113395003243
[0.16385195],[29869.95390217],[10.37055252],[19.60639441],[924.7972403],223.19607543193354
[0.40602019],[994.17231506],[13.7271894],[21.49409626],[1055.76010549],175.53202300345936
[3.19388241],[747.61070275],[14.49790937],[11.3733517],[944.93292686],168.06873202997497
[0.10792582],[28660.86193906],[9.94585637],[17.02863089],[1113.60955578],232.1839856006983
[0.09346022],[25147.97517689],[2.92882118],[10.92631309],[814.62171361],156.41010019377575
[24.37936777],[804.30932447],[15.07469768],[1.31766382],[1056.45315071],221.41610063074677
[0.12593546],[9001.89330541],[6.97531811],[18.86978322],[871.06118069],171.16462031224626
[0.09037094],[7931.26517289],[9.22348387],[23.99365349],[1004.39655581],215.18835212060253
[20.11028085],[761.99841231],[15.41349009],[6.6533461],[992.9777801],248.51410839629114
[0.06075854],[16631.49895004],[3.39862745],[6.90841756],[1086.85134849],202.08346124155935
[0.10387283],[15414.67659974],[4.44073623],[9.58731872],[932.00850778],116.32579890245222
[21.76835414],[750.51993318],[18.53225479],[4.89321418],[926.64770454],233.2916774899029
[0.07843929],[19848.2970274],[10.46568],[24.05283391],[984.02279769],63.72073327738781
[0.14886952],[1633.54525471],[2.16247166],[3.60877414],[1138.23344106],227.3992008270128
[9.54820048],[710.58834358],[10.41594057],[3.2104604],[956.63259557],247.65907995235068
[20.81359611],[746.29257183],[2.96081521],[2.12236385],[972.64361806],208.87921541272044
[0.07235093],[2621.44175859],[9.26934862],[19.95667192],[1054.14288889],196.14902345783128
[0.09009777],[20300.4654568],[3.59680224],[11.79740532],[860.66655147],122.15962785919407
[21.86846179],[754.49432813],[18.93639094],[6.49924152],[995.96962937],243.72790581056768
[1.20843004],[846.86316048],[3.23562404],[9.76830244],[978.26920931],242.40223035586757
[4.20757448],[867.30326463],[4.07977713],[2.15277083],[928.12981016],161.06252377167186
[5.25079837],[770.04401344],[19.81319221],[5.3358066],[951.02463],249.66385878765982
[0.42339011],[1334.23951787],[14.1750931],[21.15224712],[964.1590285],202.08229764713406
[0.0785759],[2927.19939744],[6.69082581],[23.23282739],[865.18041172],187.68797138640673
[0.12718024],[5118.96615063],[10.05929066],[20.25673507],[1026.45228067],179.63663454435846
[0.71259424],[752.97377119],[3.61868221],[8.33283809],[994.59904601],215.18461524712177
[0.12347781],[19878.14851272],[13.41011711],[22.94059572],[1004.55712157],147.96633107141884
[0.05073427],[21385.59888565],[6.33722386],[14.54108691],[1032.29004412],179.9698862769668
[4.65311491],[748.89722354],[9.21435906],[6.25035058],[1023.97602691],228.8965847184046
[21.35204513],[780.79208737],[19.38426265],[23.84226187],[949.47847669],246.9802740051672
[0.05916542],[2481.97097206],[5.08890853],[24.09819973],[882.84385005],213.48710682974922
[0.07820173],[6331.56199313],[2.38559768],[12.01867861],[796.60038009],209.60744658743363
[0.14779467],[21732.91490484],[7.04120361],[16.00090082],[885.94610777],229.2930628929903
[0.04760836],[25786.74031397],[1.04099002],[5.47381506],[908.04043189],242.88009902648173
[0.08738726],[20297.42308418],[3.00050439],[8.38873006],[937.85064722],107.64542904878397
[0.03544317],[13773.74093705],[4.59308451],[13.92948538],[995.66547861],177.83533846630598
[0.05659691],[4023.03482941],[1.94086721],[5.39099986],[1040.27554771],220.98775632871207
[9.55771174],[786.9068881],[16.76096789],[3.06096062],[1020.6850737],209.04515589702055
[2.53734057],[808.1019957],[14.12209786],[16.37728465],[903.08937315],237.97612692141593
[0.05461291],[4149.45425166],[2.43997871],[9.51427939],[948.78322006],161.36789800325948
[0.06977118],[765.75360545],[6.56520333],[21.4953716],[996.52686863],248.47057274737585
[19.61181895],[753.75160079],[9.80745425],[5.07436344],[941.08162207],225.12864801527303
[5.60100746],[739.28756809],[19.72094374],[5.90127789],[966.76760584],216.49485199769833
[4.46508071],[775.253613],[0.21531186],[1.9671794],[985.29852989],247.38636361053932
[16.45590623],[720.26898492],[9.55258005],[9.2248315],[957.1957842],238.44133561103138
[0.53576799],[857.01880696],[6.71631235],[12.03149405],[1030.76717616],178.19471508029596
[16.41001447],[742.41778434],[0.67649145],[17.77482666],[936.48146008],237.10074661296153
[19.85844746],[744.47267647],[0.49558977],[24.82079433],[959.56611078],211.96121276444512
[12.43390562],[736.68585809],[3.87218771],[20.97591779],[942.67608522],236.63742216698392
[12.16310287],[738.73505814],[14.53962397],[3.6400456],[968.94241817],191.45814376993462
[0.14131624],[14294.44888754],[9.65702475],[19.70443997],[867.29686642],242.5810808078919
[0.06881487],[14151.74872649],[4.78619433],[23.20575365],[830.60435333],199.9470240416391
[0.04075457],[2883.18280247],[2.71912836],[7.4189008],[955.10999242],192.43890299131237
[0.23127394],[1742.51197622],[12.9456554],[21.50066884],[982.75602956],140.61310215639753
[6.79880275],[759.89815882],[11.44878425],[3.82095034],[896.57579828],205.71989694215108
[0.10284433],[14964.59568205],[6.97812456],[21.36954164],[824.4758342],198.56596675593994
[18.44179718],[878.14196249],[18.34108744],[1.83205565],[862.33491721],246.9673124955733
[14.30835035],[785.32652853],[15.17399588],[9.06695201],[957.5572623],243.17121703209023
[0.05510772],[20566.66583617],[6.14962354],[17.64894177],[935.23634788],126.36056233885017
[0.07123923],[13415.88224946],[10.98265826],[22.82709851],[999.12605242],184.38620984488546
[0.08414216],[24567.3251812],[9.81498711],[18.86875018],[1022.39493285],166.4632327348769
[2.01551694],[817.71331377],[10.54479586],[12.5319109],[965.45234187],151.81646312364808
[0.15908546],[12357.55985388],[9.53562518],[18.93924596],[923.8813219],200.4407540866415
[21.68010323],[801.05594694],[9.29211456],[3.15104908],[956.41477118],242.29721164283342
[13.29299117],[855.39402777],[3.12316387],[1.33477934],[973.21249227],249.4587458017021
[8.05396702],[747.79380983],[8.05401477],[20.26587395],[985.43281456],232.54099454826428
[0.11235671],[6820.37867303],[9.18717626],[22.44982034],[876.85392865],177.10934402384112
[8.92851841],[882.32468273],[6.50399597],[0.82842811],[973.50827126],182.8331185596012
[1.6444703],[793.03423222],[13.11531694],[21.98287283],[895.99013695],204.22609972218083
[7.74500318],[771.59489703],[13.17406982],[16.39842799],[948.90845443],237.80108330809128
[0.04497741],[14388.03526709],[7.6380226],[22.15296325],[997.97206411],162.1568953814475
[0.09543824],[3523.23621273],[3.26658008],[7.9373691],[1023.65127613],171.38165569552564
[24.22824748],[922.32703668],[17.69230778],[1.08284659],[1053.704846],212.78037785274512
[0.06092083],[9969.49492104],[2.568237],[5.48511032],[1106.8950254],244.31986901607422
[0.1307071],[17484.50203221],[1.59191097],[3.36058388],[865.23369414],215.0737536734281
[2.36308397],[741.4811464],[1.83270643],[19.38131114],[980.29416257],243.7739211624929
[1.00913025],[895.3050714],[13.4629569],[20.35134032],[1022.8080837],154.76857015177484
[0.14618762],[3603.08811545],[11.00522044],[23.5864545],[954.46915651],82.85551880804985
[11.55359251],[758.27246106],[16.4740504],[4.72742247],[1012.57957743],248.28866439945762
[2.7776295],[784.52461603],[1.89832576],[2.12097459],[864.7154677],239.25405083422095
[23.26160378],[787.68068101],[11.57431696],[15.24715139],[960.07353402],243.27354145867298
[14.0512359],[774.59047822],[6.44945195],[10.59588741],[942.00853183],248.213401735194
[0.07038567],[13025.53145826],[4.49783969],[14.43466162],[924.54407064],105.74287150548412
[5.65288407],[925.42539864],[4.65202159],[1.2844664],[988.32340677],210.6088491211293
[17.99956216],[1004.1414122],[7.86917246],[0.38500788],[944.55244017],92.15086301870292
[0.08331865],[20490.11059369],[2.11096177],[8.95984454],[860.45699403],248.92689764363558
[0.76588963],[827.50409166],[8.16828972],[11.89711905],[1006.20042083],220.09673722707237
[0.07329685],[7409.00844027],[6.30767343],[23.94399075],[858.24649426],157.11943430501265
[0.12314405],[20938.76443448],[10.56853309],[20.60097531],[1003.73539099],138.92439634228117
[6.06307982],[730.15915654],[13.36188331],[10.83915817],[929.90452256],249.84956424130564
[3.12391283],[813.10916005],[11.42478767],[7.18604605],[916.89672766],191.91360514850874
[24.82296997],[777.96866405],[8.06835116],[2.55334797],[937.40910036],232.5106364862952
[24.71318864],[755.05572993],[19.62983212],[11.64972151],[941.90661175],228.80588783575024
[0.15543183],[1034.89103472],[4.95259841],[20.88514827],[868.59347131],207.33379252811835
[0.07895104],[21962.54821613],[7.71612259],[15.4240576],[965.77395278],217.70778177876696
[14.44304256],[766.97033029],[6.94797255],[2.03946609],[989.08133258],186.71997149723393
[0.12246522],[6220.135527],[3.32716406],[7.25512244],[904.34892556],147.62202868203474
[1.82836253],[881.40339644],[4.57786065],[7.93533537],[954.18094693],219.79222445632126
[0.02892029],[4258.12308367],[7.49423996],[20.00620845],[1007.75502339],222.90177106573003
[10.84521675],[747.33313985],[8.34480607],[8.75398072],[975.22471751],222.4664245489289
[0.13157661],[14537.56539476],[4.73540199],[8.4085609],[1013.42342834],152.0463539990444
[5.46833156],[738.68702974],[4.29452612],[10.69843994],[954.17149071],221.27869968619586
[20.33443221],[753.54811758],[16.59369171],[20.49074606],[940.92992465],228.2848412654888
[0.1507834],[24628.15009092],[10.0994737],[17.1884163],[919.1920237],226.59188170121809
[0.72690654],[886.70160772],[9.7043362],[13.6551837],[957.39725995],142.87346795655913
[1.95457675],[846.59000118],[14.32538069],[15.8935884],[899.97928686],192.06486972363416
[3.15973628],[742.94415854],[18.7296821],[17.90943471],[908.84225214],218.64545370561837
[0.09820589],[10965.29446424],[7.48829204],[20.68276547],[876.25296934],124.07865288002824
[13.39057304],[787.19699105],[19.53956958],[5.07794765],[954.18330753],236.7324835893828
[17.31566906],[742.04221026],[10.35845028],[19.12686188],[986.4595905],239.41727491007975
[20.63439046],[773.80593698],[4.77420282],[5.77341818],[951.95419544],236.74261208599523
[4.93851318],[769.4841247],[18.74454534],[15.47014269],[962.15404177],212.99290670878247
[0.01537282],[12372.8627138],[6.66124623],[24.37100413],[938.53126542],210.32578311495058
[22.46599156],[750.78240764],[5.20777251],[21.75431415],[962.94963167],208.39870494359695
[0.1514606],[6494.66749811],[4.9304721],[7.66562707],[1006.6276672],195.67098793165178
[11.3396661],[876.69745809],[16.48723231],[2.04399972],[999.22385316],195.34580339140302
[1.26716756],[873.12863876],[16.97524168],[22.74874871],[996.69931635],134.46355877029544
[0.09480994],[13158.69140442],[2.90066477],[5.45583468],[1092.05112744],196.4697491164926
[22.67909979],[747.37919016],[6.00156647],[1.28594964],[959.00415413],168.6105469675963
[0.12449145],[8899.02408805],[10.38728341],[23.24605208],[876.2145393],185.13914149439074
[0.05427118],[21729.73050257],[3.73990965],[23.70192742],[810.8738631],249.90613091146713
[13.98018994],[759.15952832],[9.24851983],[12.20380069],[928.3022646],246.50720417080026
[0.02983016],[16741.30598364],[5.74374271],[22.53805368],[943.05843688],179.3975900376356
[16.11880696],[903.44483626],[3.64412837],[0.0923742],[919.73204518],218.3645382425027
[2.57802375],[763.30478639],[17.45017143],[15.48834145],[981.64037588],159.86415604698175
[9.44827618],[778.51353006],[6.01347499],[1.91463359],[996.63675131],162.82283709504622
