Plate Name	Dilution	Colony Name	Sector Constant	Count / Frame	Mean Count / ml	User	Flags	Created
SA- DW/1/R5	1 : 1	A	4B	60	8.E+003	labuser		11/03/2020 17:12:47
SA- DW/1/R3	1 : 1	A	4B	67	8.93E+003	labuser		11/03/2020 17:12:17
SA- DW/0/R5	1 : 1	A	3B	47	3.43E+004	labuser		11/03/2020 17:11:20
SA- DW/0/R3	1 : 1	A	4C	56	1.23E+004	labuser		11/03/2020 17:10:54
SA- DW/0/R1	1 : 1	A	3B	68	4.96E+004	labuser		11/03/2020 17:10:26
SA- DT/2/R5	1 : 1	A	3A	47	1.78E+004	labuser		11/03/2020 17:08:47
SA- DT/2/R4	1 : 1	A	4C	47	1.03E+004	labuser		11/03/2020 17:08:27
SA- DT/2/R1	1 : 1	A	4C	50	1.09E+004	labuser		11/03/2020 17:08:01
SA- DT/1/R4 	1 : 1	A	4C	41	8.97E+003	labuser		11/03/2020 17:07:22
SA- DT/1/R2 	1 : 1	A	4C	48	1.05E+004	labuser		11/03/2020 17:05:56
SA- A/1/R3	1 : 1	A	4A	69	5.52E+003	labuser		11/03/2020 17:05:21
SA- A/8/R5	1 : 1	A	W	10	2.E+002	labuser		18/03/2020 16:12:02
SA- A/8/R4	1 : 1	A	W	2	4.E+001	labuser	M E 	18/03/2020 16:11:24
SA- A/8/R3	1 : 1	A	W	0	0	labuser		18/03/2020 16:11:04
SA- A/8/R2	1 : 1	A	W	0	0	labuser		18/03/2020 16:10:53
SA- A/8/R1	1 : 1	A	W	0	0	labuser	M E 	18/03/2020 16:10:09
SA- DT/8/R5	1 : 1	A	W	0	0	labuser	M E 	18/03/2020 16:08:02
SA- DT/8/R4	1 : 1	A	W	0	0	labuser	M E 	18/03/2020 16:06:46
SA- DT/8/R3	1 : 1	A	W	0	0	labuser	M E 	18/03/2020 16:06:01
SA- DT/8/R2	1 : 1	A	W	5	1.E+002	labuser	M E 	18/03/2020 16:05:07
SA- DT/8/R1	1 : 1	A	W	3	6.E+001	labuser	M E 	18/03/2020 16:04:00
SA- DW/8/R5	1 : 1	A	W	144	2.88E+003	labuser		18/03/2020 16:01:46
SA- DW/8/R4	1 : 1	A	W	197	3.94E+003	labuser		18/03/2020 16:01:27
SA- DW/8/R1	1 : 1	A	3B	43	3.14E+004	labuser		18/03/2020 16:00:52
SA- C/8/R5	1 : 1	A	W	27	5.4E+002	labuser		18/03/2020 16:00:28
SA- C/8/R4	1 : 1	A	W	23	4.6E+002	labuser		18/03/2020 16:00:06
SA- C/8/R3	1 : 1	A	W	12	2.4E+002	labuser		18/03/2020 15:59:44
SA- C/8/R2	1 : 1	A	W	0	0	labuser	M E 	18/03/2020 15:57:24
SA- C/8/R1	1 : 1	A	4A	43	3.44E+003	labuser		18/03/2020 15:56:54
SA- C/24/R5	1 : 1	A	W	10	NA	labuser		12/03/2020 15:43:25
SA- C/24/R3	1 : 1	A	W	23	NA	labuser		12/03/2020 15:43:06
SA- C/24/R2	1 : 1	A	W	21	NA	labuser		12/03/2020 15:42:46
SA- C/24/R1	1 : 1	A	W	12	NA	labuser		12/03/2020 15:41:21
SA- DT/24/R5	1 : 1	A	W	6	NA	labuser		12/03/2020 15:40:44
SA- DT/24/R3	1 : 1	A	W	9	NA	labuser	M E 	12/03/2020 15:39:53
SA- DT/24/R2	1 : 1	A	W	5	NA	labuser	M E 	12/03/2020 15:38:37
SA- DT/24/R1	1 : 1	A	W	14	NA	labuser		12/03/2020 15:38:11
SA- A/24/R5	1 : 1	A	W	15	NA	labuser		12/03/2020 15:37:30
SA- A/24/R4	1 : 1	A	W	6	NA	labuser		12/03/2020 15:37:10
SA- A/24/R3	1 : 1	A	W	11	NA	labuser		12/03/2020 15:36:48
SA- A/24/R2	1 : 1	A	W	5	NA	labuser		12/03/2020 15:36:31
SA- A/24/R1	1 : 1	A	W	6	NA	labuser		12/03/2020 15:36:11
SA- DW/24/R5	1 : 1	A	W	30	NA	labuser		12/03/2020 15:35:27
SA- DW/24/R4	1 : 1	A	W	9	NA	labuser		12/03/2020 15:35:10
SA- DW/24/R3	1 : 1	A	W	23	NA	labuser		12/03/2020 15:34:50
SA- DW/24/R2	1 : 1	A	W	26	NA	labuser		12/03/2020 15:34:29
SA- DW/24/R1	1 : 1	A	4B	192	NA	labuser		12/03/2020 15:34:00




