Time,Replicates,Surface,Cleaning,Count
2,4,Stainless Steel,DW,15
2,5,Stainless Steel,DW,10
4,1,Stainless Steel,CON,100
4,2,Stainless Steel,CON,70
4,3,Stainless Steel,CON,50
4,4,Stainless Steel,CON,60
4,5,Stainless Steel,CON,40
4,1,Stainless Steel,ALC,38
4,2,Stainless Steel,ALC,20
4,3,Stainless Steel,ALC,10
4,4,Stainless Steel,ALC,9
4,5,Stainless Steel,ALC,15
4,1,Stainless Steel,DW,14
4,2,Stainless Steel,DW,15
4,3,Stainless Steel,DW,10
4,4,Stainless Steel,DW,9
4,5,Stainless Steel,DW,7
0,1,KYDEX,ALC,950
0,2,KYDEX,ALC,1144
0,3,KYDEX,ALC,1104
0,4,KYDEX,ALC,929
0,5,KYDEX,ALC,1194
0,6,KYDEX,ALC,1123
1,1,KYDEX,ALC,871
1,2,KYDEX,ALC,839
1,3,KYDEX,ALC,746
1,4,KYDEX,ALC,657
1,5,KYDEX,ALC,676
1,6,KYDEX,ALC,740
2,1,KYDEX,ALC,657
2,2,KYDEX,ALC,980
2,3,KYDEX,ALC,840
2,4,KYDEX,ALC,804
2,5,KYDEX,ALC,754
2,6,KYDEX,ALC,675
4,1,KYDEX,ALC,521
4,2,KYDEX,ALC,796
4,3,KYDEX,ALC,931
4,4,KYDEX,ALC,639
4,5,KYDEX,ALC,700
4,6,KYDEX,ALC,657
0,1,KYDEX,CON,1213
0,2,KYDEX,CON,1215
0,3,KYDEX,CON,1100
0,4,KYDEX,CON,1166
0,5,KYDEX,CON,1160
0,6,KYDEX,CON,1220
1,1,KYDEX,CON,1098
1,2,KYDEX,CON,1018
1,3,KYDEX,CON,1057
1,4,KYDEX,CON,975
1,5,KYDEX,CON,1025
1,6,KYDEX,CON,990
2,1,KYDEX,CON,1066
2,2,KYDEX,CON,1034
2,3,KYDEX,CON,1030
2,4,KYDEX,CON,1055
2,5,KYDEX,CON,1046
2,6,KYDEX,CON,1088
4,1,KYDEX,CON,1005
4,2,KYDEX,CON,1157
4,3,KYDEX,CON,1000
4,4,KYDEX,CON,1124
4,5,KYDEX,CON,1191
4,6,KYDEX,CON,1095
0,1,KYDEX,DW,1078
0,2,KYDEX,DW,1126
0,3,KYDEX,DW,821
0,4,KYDEX,DW,782
0,5,KYDEX,DW,857
0,6,KYDEX,DW,1099
1,1,KYDEX,DW,736
1,2,KYDEX,DW,581
1,3,KYDEX,DW,710
1,4,KYDEX,DW,829
1,5,KYDEX,DW,715
1,6,KYDEX,DW,530
2,1,KYDEX,DW,820
2,2,KYDEX,DW,699
2,3,KYDEX,DW,715
2,4,KYDEX,DW,750
2,5,KYDEX,DW,812
2,6,KYDEX,DW,705
4,1,KYDEX,DW,987
4,2,KYDEX,DW,799
4,3,KYDEX,DW,852
4,4,KYDEX,DW,925
4,5,KYDEX,DW,850
4,6,KYDEX,DW,920
-48,1,KYDEX,ALC,10052
-48,2,KYDEX,ALC,9500
-48,3,KYDEX,ALC,10500
-48,4,KYDEX,ALC,9800
-48,5,KYDEX,ALC,10300
-48,6,KYDEX,ALC,10400
-41,1,KYDEX,ALC,2687
-41,2,KYDEX,ALC,2070
-41,3,KYDEX,ALC,2436
-41,4,KYDEX,ALC,2181
-41,5,KYDEX,ALC,2000
-41,6,KYDEX,ALC,2100
-24,1,KYDEX,ALC,1326
-24,2,KYDEX,ALC,1488
-24,3,KYDEX,ALC,909
-24,4,KYDEX,ALC,1103
-24,5,KYDEX,ALC,980
-24,6,KYDEX,ALC,1311
-17,1,KYDEX,ALC,827
-17,2,KYDEX,ALC,605
-17,3,KYDEX,ALC,842
-17,4,KYDEX,ALC,764
-17,5,KYDEX,ALC,641
-17,6,KYDEX,ALC,841
-0.666666667,1,KYDEX,ALC,1365
-0.666666667,2,KYDEX,ALC,1548
-0.666666667,3,KYDEX,ALC,1172
-0.666666667,4,KYDEX,ALC,1073
-0.666666667,5,KYDEX,ALC,1230
-0.666666667,6,KYDEX,ALC,950
-48,1,KYDEX,DW,10052
-48,2,KYDEX,DW,10052
-48,3,KYDEX,DW,10052
-48,4,KYDEX,DW,10052
-48,5,KYDEX,DW,10052
-48,6,KYDEX,DW,10052
-41,1,KYDEX,DW,2687
-41,2,KYDEX,DW,2070
-41,3,KYDEX,DW,2436
